ID,Bank,City,Branch,SWIFT Code
102,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,JAKARTA PUSAT BRANCH,BNINIDJAJPU
103,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,JALAN RASUNA SAID BRANCH,BNINIDJAJRS
104,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,JATINEGARA BRANCH,BNINIDJAJNG
105,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,KEBAYORAN BARU BRANCH,BNINIDJAKBY
106,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,KRAMAT BRANCH,BNINIDJAKRM
107,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,KREKOT BRANCH,BNINIDJAKRK
108,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,MANGGA DUA BRANCH,BNINIDJAMDA
109,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,MATRAMAN BRANCH,BNINIDJAMTR
110,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,MEDAN MERDEKA TIMUR BRANCH,BNINIDJAMDT
111,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,MENTENG BRANCH,BNINIDJAMTG
112,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,MERDEKA SELATAN BRANCH,BNINIDJAMDS
113,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,MH THAMRIN BRANCH,BNINIDJAMHT
114,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,PASAR BARU BRANCH,BNINIDJAPBU
115,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,PASAR KOJA BRANCH,BNINIDJAPKJ
116,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,PASAR MAYESTIK BRANCH,BNINIDJAPMK
117,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,PASAR MINGGU BRANCH,BNINIDJAPSM
118,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,PECENONGAN BRANCH,BNINIDJAPCG
119,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,PETOJO BRANCH,BNINIDJAPTJ
120,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,PONDOK INDAH MALL BRANCH,BNINIDJAPIM
121,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,RATU PLAZA,BNINIDJARPZ
122,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,RAWAMANGUN BRANCH,BNINIDJARWM
123,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,ROA MALAKA BRANCH,BNINIDJARMA
124,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,SEMANGGI BRANCH,BNINIDJASGI
125,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,SENAYAN BRANCH,BNINIDJASNY
126,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,SENEN BRANCH,BNINIDJASNN
127,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,SYNDICATION DIVISION,BNINIDJASJK
128,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,TANAH ABANG BRANCH,BNINIDJATAB
129,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,TANJUNG PRIOK BRANCH,BNINIDJATPR
130,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,TEBET BRANCH,BNINIDJATEB
131,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,TREASURY DIVISION,BNINIDJATRS
132,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,UI DEPOK BRANCH,BNINIDJAUID
133,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,WISMA ARGO MANUNGGAL BRANCH,BNINIDJAWAM
134,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,WISMA EMPAT NAM BRANCH,BNINIDJAWEN
135,BANK NEGARA INDONESIA - PT (PERSERO),JAMBI,JAMBI BRANCH,BNINIDJAJBI
136,BANK NEGARA INDONESIA - PT (PERSERO),JAYAPURA,JAYAPURA BRANCH,BNINIDJAJPA
137,BANK NEGARA INDONESIA - PT (PERSERO),JEMBER,JEMBER BRANCH,BNINIDJAJBR
138,BANK NEGARA INDONESIA - PT (PERSERO),JEPARA,JEPARA BRANCH,BNINIDJAJPR
139,BANK NEGARA INDONESIA - PT (PERSERO),JOMBANG,JOMBANG BRANCH,BNINIDJAJBG
140,BANK NEGARA INDONESIA - PT (PERSERO),KABANJAHE,KABANJAHE BRANCH,BNINIDJAKJH
141,BANK NEGARA INDONESIA - PT (PERSERO),KARAWANG,KARAWANG BRANCH,BNINIDJAKWG
142,BANK NEGARA INDONESIA - PT (PERSERO),KAYU AGUNG,KAYU AGUNG BRANCH,BNINIDJAKYA
